"Rk","Pick","Team","Player","Draft"
"36","36","NJN","Jordan Williams",2011
"37","37","LAC","Trey Thompkins",2011
"38","38","HOU","Chandler Parsons",2011
"39","39","CHA","Jeremy Tyler",2011
"40","40","MIL","Jon Leuer",2011
"41","41","LAL","Darius Morris",2011
"42","42","IND","Davis Bertans",2011
"43","43","CHI","Malcolm Lee",2011
"44","44","GSW","Charles Jenkins",2011
"45","45","NOH","Josh Harrellson",2011
"46","46","LAL","Andrew Goudelock",2011
"47","47","LAC","Travis Leslie",2011
"48","48","ATL","Keith Benson",2011
"49","49","MEM","Josh Selby",2011
"50","50","PHI","Lavoy Allen",2011
"51","51","POR","Jon Diebler",2011
"52","52","DET","Vernon Macklin",2011
"53","53","ORL","DeAndre Liggins",2011
"54","54","CLE","Milan Macvan",2011
"55","55","BOS","E'Twaun Moore",2011
"56","56","LAL","Chukwudiebere Maduabum",2011
"57","57","DAL","Targuy Ngombo",2011
"58","58","LAL","Ater Majok",2011
"59","59","SAS","Adam Hanga",2011
"60","60","SAC","Isaiah Thomas",2011
"1","1","NOH","Anthony Davis",2012
"2","2","CHA","Michael Kidd-Gilchrist",2012
"3","3","WAS","Bradley Beal",2012
"4","4","CLE","Dion Waiters",2012
"5","5","SAC","Thomas Robinson",2012
"6","6","POR","Damian Lillard",2012
"7","7","GSW","Harrison Barnes",2012
"8","8","TOR","Terrence Ross",2012
"9","9","DET","Andre Drummond",2012
"10","10","NOH","Austin Rivers",2012
"11","11","POR","Meyers Leonard",2012
"12","12","HOU","Jeremy Lamb",2012
"13","13","PHO","Kendall Marshall",2012
"14","14","MIL","John Henson",2012
"15","15","PHI","Maurice Harkless",2012
"16","16","HOU","Royce White",2012
"17","17","DAL","Tyler Zeller",2012
"18","18","HOU","Terrence Jones",2012
"19","19","ORL","Andrew Nicholson",2012
"20","20","DEN","Evan Fournier",2012
"21","21","BOS","Jared Sullinger",2012
"22","22","BOS","Fab Melo",2012
"23","23","ATL","John Jenkins",2012
"24","24","CLE","Jared Cunningham",2012
"25","25","MEM","Tony Wroten",2012
"26","26","IND","Miles Plumlee",2012
"27","27","MIA","Arnett Moultrie",2012
"28","28","OKC","Perry Jones",2012
"29","29","CHI","Marquis Teague",2012
"30","30","GSW","Festus Ezeli",2012
"31","31","CHA","Jeff Taylor",2012
"32","32","WAS","Tomas Satoransky",2012
"33","33","CLE","Bernard James",2012
"34","34","CLE","Jae Crowder",2012
"35","35","GSW","Draymond Green",2012
"36","36","SAC","Orlando Johnson",2012
"37","37","TOR","Quincy Acy",2012
"38","38","DEN","Quincy Miller",2012
"39","39","DET","Khris Middleton",2012
"40","40","POR","Will Barton",2012
"41","41","POR","Tyshawn Taylor",2012
"42","42","MIL","Doron Lamb",2012
"43","43","ATL","Mike Scott",2012
"44","44","DET","Kim English",2012
"45","45","PHI","Justin Hamilton",2012
"46","46","NOH","Darius Miller",2012
"47","47","UTA","Kevin Murphy",2012
"48","48","NYK","Kostas Papanikolaou",2012
"49","49","ORL","Kyle O'Quinn",2012
"50","50","DEN","Izzet Turkyilmaz",2012
"51","51","BOS","Kris Joseph",2012
"52","52","GSW","Ognjen Kuzmic",2012
"53","53","LAC","Furkan Aldemir",2012
"54","54","PHI","Tornike Shengelia",2012
"55","55","DAL","Darius Johnson-Odom",2012
"56","56","TOR","Tomislav Zubcic",2012
"57","57","NJN","Ilkan Karaman",2012
"58","58","MIN","Robbie Hummel",2012
"59","59","SAS","Marcus Denmon",2012
"60","60","LAL","Robert Sacre",2012
"1","1","CLE","Anthony Bennett",2013
"2","2","ORL","Victor Oladipo",2013
"3","3","WAS","Otto Porter",2013
"4","4","CHA","Cody Zeller",2013
"5","5","PHO","Alex Len",2013
"6","6","NOH","Nerlens Noel",2013
"7","7","SAC","Ben McLemore",2013
"8","8","DET","Kentavious Caldwell-Pope",2013
"9","9","MIN","Trey Burke",2013
"10","10","POR","CJ McCollum",2013
"11","11","PHI","Michael Carter-Williams",2013
"12","12","OKC","Steven Adams",2013
"13","13","DAL","Kelly Olynyk",2013
"14","14","UTA","Shabazz Muhammad",2013
